589,42
12,81
1031,19
470,34
1028,77
905,52
700,50
92,59
306,11
265,79
694,49
762,60
304,24
526,1
1064,77
633,79
378,67
306,60
831,86
767,35
1065,83
640,18
594,63
83,77
129,37
922,15
344,6
981,71
711,61
287,85
604,39
704,71
784,31
389,19
226,57
465,56
257,4
151,6
615,2
1063,88
85,21
504,33
70,59
843,87
230,79
682,18
800,37
146,57
9,12
360,54
555,36
523,60
637,55
111,19
149,2
156,84
1,77
332,89
477,47
705,10
699,74
960,24
180,0
868,6
655,37
632,78
987,22
401,50
1062,14
248,83
732,12
562,37
736,44
817,64
207,44
888,8
211,43
715,72
115,7
748,40
850,85
499,2
963,5
774,79
926,39
435,12
1056,6
937,12
803,89
437,18
70,57
104,89
975,4
437,14
998,62
622,86
470,68
926,17
86,20
479,22
901,44
171,2
157,37
871,31
166,80
898,42
398,66
825,9
670,3
164,26
79,38
462,50
651,75
526,89
592,45
2,79
259,46
217,69
1011,18
104,21
431,73
950,62
940,38
290,17
866,17
837,48
475,43
121,46
532,11
275,7
219,31
71,69
614,85
17,73
458,59
901,29
790,7
524,27
854,11
22,85
106,39
810,9
182,12
92,60
941,73
103,64
936,14
586,67
1060,50
225,71
218,87
807,30
516,6
233,18
485,28
125,72
567,89
607,9
223,64
21,15
891,76
392,79
146,14
698,58
208,39
732,53
22,3
567,84
567,76
631,35
225,67
521,69
1029,66
77,11
843,60
100,68
231,62
368,56
213,73
861,61
70,18
312,79
556,16
230,43
8,51
578,87
801,16
811,62
979,41
213,22
544,30
919,35
911,20
573,26
198,43
778,7
604,54
805,68
717,9
662,18
523,80
689,44
355,34
398,4
1041,27
1003,85
35,73
85,69
657,73
356,53
566,32
487,57
240,11
326,25
127,43
760,74
334,0
193,89
878,74
946,0
399,18
527,70
1053,70
232,83
141,64
243,56
596,44
764,0
981,19
796,65
448,22
288,41
300,5
1033,65
305,3
540,0
514,77
957,64
293,45
670,10
964,13
42,11
434,74
437,46
25,45
820,79
189,76
41,59
221,22
1027,36
750,36
427,73
604,57
725,28
13,52
877,30
879,8
69,67
369,39
138,11
539,71
758,45
527,90
375,84
515,56
184,59
338,30
959,29
261,62
1011,15
40,57
721,82
592,41
772,45
719,43
693,74
443,16
512,41
130,77
875,15
909,6
189,19
386,46
621,24
1053,52
114,8
991,9
6,5
1000,4
453,2
501,51
65,9
973,85
25,58
730,16
97,35
572,19
622,47
770,86
662,71
175,32
68,67
384,22
643,48
481,73
883,81
277,75
530,55
21,6
90,0
675,75
745,70
264,25
437,89
1039,87
70,21
79,61
326,59
624,3
647,50
466,32
482,20
836,9
24,42
410,74
902,30
126,36
138,37
657,10
281,72
1056,48
83,30
165,47
631,76
273,44
537,67
548,60
470,11
830,38
234,85
546,80
416,18
744,24
1023,36
182,47
750,72
745,62
426,22
1021,50
396,22
488,75
844,31
806,45
790,64
73,75
840,16
499,62
1026,37
370,90
41,37
677,56
826,57
194,58
541,58
191,20
70,76
455,20
70,23
305,41
852,48
757,88
372,79
914,34
998,13
7,30
379,28
128,82
300,43
604,44
143,55
870,56
391,11
851,62
191,40
286,8
249,51
878,55
